Feature,Importance
cat__Circuit_ID_1206401,1.3245577639573908e-08
cat__Substation_STONER 358,1.3150190047230436e-08
cat__Substation_W. ADAMS 875,1.3054226727943955e-08
cat__Substation_Woodstock,1.302771248841455e-08
cat__County_Nassau,1.3004251306594424e-08
cat__City_WATERTOWN,1.2869386689769392e-08
cat__Utility_O&R,1.2697181156926291e-08
cat__City_Mooers,1.2575718549452115e-08
cat__County_Richmond,1.252731110020617e-08
cat__City_AVON,1.2478578973420088e-08
cat__County_Delaware,1.221917497293104e-08
cat__City_Binghamton,1.197223713386588e-08
cat__Substation_N. CARTHAGE 816,1.1779764117301238e-08
cat__Connection_Date_2022-03-25 00:00:00,1.087719942888133e-08
cat__Connection_Date_2018-12-18 00:00:00,1.0789577497737e-08
cat__City_HAMLIN,1.0742077245415178e-08
cat__Substation_NYS-SOUTH OWEGO 540,1.0735072446413392e-08
cat__Connection_Date_2020-07-10 00:00:00,1.070175153794432e-08
cat__City_AUBURN,1.0698868375729844e-08
cat__Circuit_ID_36_13_87551,1.05811107394727e-08
cat__Connection_Date_2021-09-29 00:00:00,1.0201254490675319e-08
cat__Substation_LOWVILLE 773,1.0166650521208647e-08
cat__County_Chautauqua,1.0091445425094096e-08
cat__Connection_Date_2021-08-27 00:00:00,9.64812239040824e-09
cat__City_Ellenburg,9.5893449701697e-09
cat__Substation_NYS-LOUNSBERRY 179,9.188016514503952e-09
cat__Connection_Date_2019-12-31 00:00:00,9.154842116143547e-09
cat__City_Ghent,9.072818526559806e-09
cat__Connection_Date_2016-12-27 00:00:00,9.03438321971302e-09
cat__Developer_Caitlin Majewski (xxx),9.026696229102162e-09
cat__Division_Plattsburgh,8.849644051898508e-09
cat__Division_Rochester,8.739587790577258e-09
cat__Substation_NYS-YAWGER RD 362,8.711558554267668e-09
cat__Metering Method_RC,8.706581736494759e-09
cat__Substation_East Park,8.614073436569038e-09
cat__Circuit_ID_36_32_36556,8.514793371635789e-09
cat__Substation_8WF,8.477341659614961e-09
cat__City_Calverton,8.460640269857552e-09
cat__Developer_Solar Liberty Energy Systems,8.383230587712537e-09
cat__Substation_CURRY RD 365,8.369471147517428e-09
cat__Division_Poughkeepsie,8.281777710116107e-09
cat__Connection_Date_2015-12-15 00:00:00,8.249912177673419e-09
cat__Circuit_ID_COLD SPRING-W SALAMANCA #804,8.248986010467088e-09
cat__Circuit_ID_36_08_15352,8.127794598578853e-09
cat__County_Tioga,8.00920878309411e-09
cat__Division_010 - Olean,7.961987224117845e-09
cat__City_Lagrangeville,7.883166164367238e-09
cat__Developer_Sunpower,7.87908143794577e-09
cat__Division_030 - Albany,7.863604429636654e-09
cat__Substation_BRUNSWICK 264,7.833779081149993e-09
cat__Circuit_ID_36_23_81653,7.826822508097121e-09
cat__Developer_Other,7.801482205670147e-09
cat__Circuit_ID_4203096,7.635202610071922e-09
cat__County_Westchester,7.500969825133392e-09
cat__Substation_White_Plains,7.473040175277815e-09
cat__Division_East,7.330949075432388e-09
cat__County_Franklin,7.3047610030829615e-09
cat__Connection_Date_2021-08-30 00:00:00,7.242069943621548e-09
cat__Developer_Soltage VUL1600 Chemung LLC,7.2378882521909425e-09
cat__Circuit_ID_36_17_60656,7.189418416497366e-09
cat__Substation_NYS-PHILO RD 330,7.106019766759359e-09
cat__Developer_Common Energy,7.042762870702861e-09
cat__Substation_DEERFIELD 606,7.038058925432775e-09
"cat__Developer_Borrego Solar Systems, Inc.",6.98943658215847e-09
cat__City_CARTHAGE,6.9723218976597716e-09
cat__City_TROY,6.9335780461805065e-09
cat__County_Dutchess,6.929535058059224e-09
cat__City_Shirley,6.874613842786877e-09
cat__Circuit_ID_0071RO5110,6.812002247244608e-09
cat__Substation_LAWRENCE AVE 976,6.7956143816878785e-09
cat__Circuit_ID_JH NWK,6.7891641195043016e-09
